year,Source,Sex,age,weight
2008,LL survey,Female,33,6
2009,LL survey,Female,33,6.6
2010,LL survey,Female,33,6.9
2011,LL survey,Female,33,4.4
2012,LL survey,Female,33,5.1
2013,LL survey,Female,33,4.7
2014,LL survey,Female,33,6.6
2015,LL survey,Female,33,5.5
2016,LL survey,Female,33,6.4
2017,LL survey,Female,33,7.5
2005,LL fishery,Female,33,6.9
2006,LL fishery,Female,33,4.5
2007,LL fishery,Female,33,6
2008,LL fishery,Female,33,7
2009,LL fishery,Female,33,6.9
2010,LL fishery,Female,33,6.1
2011,LL fishery,Female,33,6.1
2012,LL fishery,Female,33,4.7
2013,LL fishery,Female,33,7.5
2014,LL fishery,Female,33,6.7
2015,LL fishery,Female,33,7.3
2016,LL fishery,Female,33,6.1
2017,LL fishery,Female,33,7.8
2005,LL survey,Male,33,3.2
2006,LL survey,Male,33,3.2
2007,LL survey,Male,33,3.6
2008,LL survey,Male,33,3.5
2009,LL survey,Male,33,3.8
2010,LL survey,Male,33,3.8
2011,LL survey,Male,33,3.1
2012,LL survey,Male,33,3.5
2013,LL survey,Male,33,4.1
2014,LL survey,Male,33,3
2015,LL survey,Male,33,4.6
2016,LL survey,Male,33,3.3
2017,LL survey,Male,33,4.7
2005,LL fishery,Male,33,4.1
2006,LL fishery,Male,33,4.3
2007,LL fishery,Male,33,4.3
2008,LL fishery,Male,33,4.6
2009,LL fishery,Male,33,3.6
2010,LL fishery,Male,33,4.1
2011,LL fishery,Male,33,3.9
2012,LL fishery,Male,33,3.4
2013,LL fishery,Male,33,3.1
2014,LL fishery,Male,33,3.6
2015,LL fishery,Male,33,4.4
2016,LL fishery,Male,33,3.9
2017,LL fishery,Male,33,3.8
2005,LL survey,Female,34,6.1
2006,LL survey,Female,34,6.3999999999999995
2007,LL survey,Female,34,5.1
2008,LL survey,Female,34,6.2
2009,LL survey,Female,34,11
2010,LL survey,Female,34,5.9
2011,LL survey,Female,34,4.8
2012,LL survey,Female,34,6.1
2013,LL survey,Female,34,6.6
2014,LL survey,Female,34,4.65
2015,LL survey,Female,34,4.4
2016,LL survey,Female,34,6.050000000000001
2017,LL survey,Female,34,8
2005,LL fishery,Female,34,7.7
2006,LL fishery,Female,34,6.8
2007,LL fishery,Female,34,5.9
2008,LL fishery,Female,34,6.2
2009,LL fishery,Female,34,5.7
2010,LL fishery,Female,34,5.3
2011,LL fishery,Female,34,6.6
2012,LL fishery,Female,34,5.4
2013,LL fishery,Female,34,6.8
2014,LL fishery,Female,34,6.8
2015,LL fishery,Female,34,7.2
2016,LL fishery,Female,34,7
2017,LL fishery,Female,34,7
2005,LL survey,Male,34,3.4
2006,LL survey,Male,34,3.7
2007,LL survey,Male,34,3.6
2008,LL survey,Male,34,3.533333333333333
2009,LL survey,Male,34,3.2
2010,LL survey,Male,34,3.7
2011,LL survey,Male,34,3.1
2012,LL survey,Male,34,3.8
2013,LL survey,Male,34,3.3
2014,LL survey,Male,34,3.2
2015,LL survey,Male,34,3.2
2016,LL survey,Male,34,4.8
2017,LL survey,Male,34,2.9
2005,LL fishery,Male,34,3.7
2006,LL fishery,Male,34,4.1
2007,LL fishery,Male,34,3
2008,LL fishery,Male,34,3.6
2009,LL fishery,Male,34,3.4
2010,LL fishery,Male,34,3.5
2011,LL fishery,Male,34,3.2
2012,LL fishery,Male,34,3.9
2013,LL fishery,Male,34,3.6
2014,LL fishery,Male,34,3.9
2015,LL fishery,Male,34,4.3
2016,LL fishery,Male,34,4
2017,LL fishery,Male,34,4.7
2005,LL survey,Female,35,5.4
2006,LL survey,Female,35,6.1
2007,LL survey,Female,35,9.2
2008,LL survey,Female,35,6
2009,LL survey,Female,35,10
2010,LL survey,Female,35,5.1
2011,LL survey,Female,35,5.5
2012,LL survey,Female,35,6.4
2013,LL survey,Female,35,3.1
2014,LL survey,Female,35,2.7
2015,LL survey,Female,35,6.7
2016,LL survey,Female,35,5.7
2017,LL survey,Female,35,8.5
2005,LL fishery,Female,35,6.8
2006,LL fishery,Female,35,5.6
2007,LL fishery,Female,35,6.8
2008,LL fishery,Female,35,5.4
2009,LL fishery,Female,35,6
2010,LL fishery,Female,35,6.2
2011,LL fishery,Female,35,6.7
2012,LL fishery,Female,35,6.8
2013,LL fishery,Female,35,4.8
2014,LL fishery,Female,35,6
2015,LL fishery,Female,35,7.3
2016,LL fishery,Female,35,7.5
2017,LL fishery,Female,35,7.1
2005,LL survey,Male,35,5.2
2006,LL survey,Male,35,3.7
2007,LL survey,Male,35,3.7
2008,LL survey,Male,35,3.566666666666667
2009,LL survey,Male,35,4.3
2010,LL survey,Male,35,4.3
2011,LL survey,Male,35,3.7
2012,LL survey,Male,35,3.5
2013,LL survey,Male,35,4.4
2014,LL survey,Male,35,3.5
2015,LL survey,Male,35,3.3
2016,LL survey,Male,35,4.65
2017,LL survey,Male,35,3.4666666666666663
2005,LL fishery,Male,35,4
2006,LL fishery,Male,35,4.4
2007,LL fishery,Male,35,5.2
2008,LL fishery,Male,35,3.7
2009,LL fishery,Male,35,4.2
2010,LL fishery,Male,35,3.7
2011,LL fishery,Male,35,3.9
2012,LL fishery,Male,35,3.5
2013,LL fishery,Male,35,3.7
2014,LL fishery,Male,35,3.2
2015,LL fishery,Male,35,3.9
2016,LL fishery,Male,35,3.5
2017,LL fishery,Male,35,4
2005,LL survey,Female,36,6.1
2006,LL survey,Female,36,7.3999999999999995
2007,LL survey,Female,36,10.649999999999999
2008,LL survey,Female,36,5.8
2009,LL survey,Female,36,8.3
2010,LL survey,Female,36,6.2
2011,LL survey,Female,36,5.2
2012,LL survey,Female,36,6.1
2013,LL survey,Female,36,8.2
2014,LL survey,Female,36,5.550000000000001
2015,LL survey,Female,36,7.133333333333334
2016,LL survey,Female,36,5.9
2017,LL survey,Female,36,7.6
2005,LL fishery,Female,36,6.9
2006,LL fishery,Female,36,5.3
2007,LL fishery,Female,36,6
2008,LL fishery,Female,36,7.6
2009,LL fishery,Female,36,5.2
2010,LL fishery,Female,36,5.7
2011,LL fishery,Female,36,7
2012,LL fishery,Female,36,6.7
2013,LL fishery,Female,36,7.2
2014,LL fishery,Female,36,6.4
2015,LL fishery,Female,36,4.6
2016,LL fishery,Female,36,8
2017,LL fishery,Female,36,7.2
2005,LL survey,Male,36,3.2
2006,LL survey,Male,36,3.4
2007,LL survey,Male,36,2.9
2008,LL survey,Male,36,3.6
2009,LL survey,Male,36,3.7
2010,LL survey,Male,36,3.9
2011,LL survey,Male,36,3
2012,LL survey,Male,36,3
2013,LL survey,Male,36,3.7
2014,LL survey,Male,36,3.8
2015,LL survey,Male,36,3.5
2016,LL survey,Male,36,4.5
2017,LL survey,Male,36,4.033333333333333
2005,LL fishery,Male,36,5
2006,LL fishery,Male,36,3.7
2007,LL fishery,Male,36,4.6
2008,LL fishery,Male,36,4
2009,LL fishery,Male,36,3.3
2010,LL fishery,Male,36,3.6
2011,LL fishery,Male,36,3.6
2012,LL fishery,Male,36,3.4
2013,LL fishery,Male,36,3.8
2014,LL fishery,Male,36,2.9
2015,LL fishery,Male,36,4.2
2016,LL fishery,Male,36,3.9
2017,LL fishery,Male,36,4.5
2005,LL survey,Female,37,8.9
2006,LL survey,Female,37,8.7
2007,LL survey,Female,37,12.1
2008,LL survey,Female,37,9.6
2009,LL survey,Female,37,5
2010,LL survey,Female,37,5.4
2011,LL survey,Female,37,5.8
2012,LL survey,Female,37,6.15
2013,LL survey,Female,37,8.1
2014,LL survey,Female,37,8.4
2015,LL survey,Female,37,7.566666666666666
2016,LL survey,Female,37,8.7
2017,LL survey,Female,37,6.7
2005,LL fishery,Female,37,9.2
2006,LL fishery,Female,37,6.9
2007,LL fishery,Female,37,5.8
2008,LL fishery,Female,37,6
2009,LL fishery,Female,37,5.6
2010,LL fishery,Female,37,6.8
2011,LL fishery,Female,37,6.3
2012,LL fishery,Female,37,6
2013,LL fishery,Female,37,5.7
2014,LL fishery,Female,37,7.5
2015,LL fishery,Female,37,5.9
2016,LL fishery,Female,37,6.5
2017,LL fishery,Female,37,8.9
2005,LL survey,Male,37,3.6
2006,LL survey,Male,37,3.7
2007,LL survey,Male,37,2.9
2008,LL survey,Male,37,3.4
2009,LL survey,Male,37,3.35
2010,LL survey,Male,37,2.8
2011,LL survey,Male,37,2.7
2012,LL survey,Male,37,3.2
2013,LL survey,Male,37,3.4
2014,LL survey,Male,37,2.6
2015,LL survey,Male,37,3.525
2016,LL survey,Male,37,3.5
2017,LL survey,Male,37,4.6
2005,LL fishery,Male,37,3.8
2006,LL fishery,Male,37,3.9
2007,LL fishery,Male,37,3.7
2008,LL fishery,Male,37,3.6
2009,LL fishery,Male,37,3.7
2010,LL fishery,Male,37,3.2
2011,LL fishery,Male,37,3.2
2012,LL fishery,Male,37,4.2
2013,LL fishery,Male,37,3.2
2014,LL fishery,Male,37,3.4
2015,LL fishery,Male,37,4.4
2016,LL fishery,Male,37,4.5
2017,LL fishery,Male,37,3.8
2005,LL survey,Female,38,8.8
2006,LL survey,Female,38,6.1499999999999995
2007,LL survey,Female,38,7.3
2008,LL survey,Female,38,6.4
2009,LL survey,Female,38,5.5
2010,LL survey,Female,38,4.6
2011,LL survey,Female,38,8.2
2012,LL survey,Female,38,6.2
2013,LL survey,Female,38,8
2014,LL survey,Female,38,8.4
2015,LL survey,Female,38,8
2016,LL survey,Female,38,7.5
2017,LL survey,Female,38,9.1
2005,LL fishery,Female,38,7.3
2006,LL fishery,Female,38,8.7
2007,LL fishery,Female,38,7.2
2008,LL fishery,Female,38,4.2
2009,LL fishery,Female,38,6.3
2010,LL fishery,Female,38,6.8
2011,LL fishery,Female,38,6.2
2012,LL fishery,Female,38,6.8
2013,LL fishery,Female,38,7.25
2014,LL fishery,Female,38,7
2015,LL fishery,Female,38,7.5
2016,LL fishery,Female,38,7.8
2017,LL fishery,Female,38,8.5
2005,LL survey,Male,38,3.8
2006,LL survey,Male,38,4
2007,LL survey,Male,38,2.9
2008,LL survey,Male,38,4
2009,LL survey,Male,38,3
2010,LL survey,Male,38,3.3
2011,LL survey,Male,38,3
2012,LL survey,Male,38,3.4
2013,LL survey,Male,38,3.6
2014,LL survey,Male,38,3.7
2015,LL survey,Male,38,3.55
2016,LL survey,Male,38,3.7
2017,LL survey,Male,38,3.5
2005,LL fishery,Male,38,5.4
2006,LL fishery,Male,38,3.4
2007,LL fishery,Male,38,4.1
2008,LL fishery,Male,38,4.4
2009,LL fishery,Male,38,4.2
2010,LL fishery,Male,38,3.4
2011,LL fishery,Male,38,3.6
2012,LL fishery,Male,38,3.6
2013,LL fishery,Male,38,4.3
2014,LL fishery,Male,38,4
2015,LL fishery,Male,38,3.5
2016,LL fishery,Male,38,4.2
2017,LL fishery,Male,38,4.4
2005,LL survey,Female,39,7.7
2006,LL survey,Female,39,3.6
2007,LL survey,Female,39,5.2
2008,LL survey,Female,39,6.4
2009,LL survey,Female,39,5.4
2010,LL survey,Female,39,6.2
2011,LL survey,Female,39,5
2012,LL survey,Female,39,4.6
2013,LL survey,Female,39,7.9
2014,LL survey,Female,39,8.4
2015,LL survey,Female,39,4.6
2016,LL survey,Female,39,9.7
2017,LL survey,Female,39,9.1
2005,LL fishery,Female,39,7.4
2006,LL fishery,Female,39,8.2
2007,LL fishery,Female,39,5.9
2008,LL fishery,Female,39,4.5
2009,LL fishery,Female,39,5.9
2010,LL fishery,Female,39,6.2
2011,LL fishery,Female,39,6.5
2012,LL fishery,Female,39,7.7
2013,LL fishery,Female,39,8.8
2014,LL fishery,Female,39,6.2
2015,LL fishery,Female,39,6.8
2016,LL fishery,Female,39,6.7
2017,LL fishery,Female,39,7.9
2005,LL survey,Male,39,3.7
2006,LL survey,Male,39,3.7333333333333334
2007,LL survey,Male,39,2.6
2008,LL survey,Male,39,4.75
2009,LL survey,Male,39,3.4
2010,LL survey,Male,39,3.7
2011,LL survey,Male,39,3.6
2012,LL survey,Male,39,4.4
2013,LL survey,Male,39,3.3
2014,LL survey,Male,39,3.2
2015,LL survey,Male,39,3.575
2016,LL survey,Male,39,3.5
2017,LL survey,Male,39,3.65
2005,LL fishery,Male,39,4.7
2006,LL fishery,Male,39,3.2
2007,LL fishery,Male,39,5.1
2008,LL fishery,Male,39,4.5
2009,LL fishery,Male,39,4.4
2010,LL fishery,Male,39,3.5
2011,LL fishery,Male,39,3.7
2012,LL fishery,Male,39,3.4
2013,LL fishery,Male,39,4.1
2014,LL fishery,Male,39,5.2
2015,LL fishery,Male,39,3.6
2016,LL fishery,Male,39,4.1
2017,LL fishery,Male,39,3.5
2005,LL survey,Female,40,5.2
2006,LL survey,Female,40,6.5
2007,LL survey,Female,40,5.7
2008,LL survey,Female,40,6.4
2009,LL survey,Female,40,7.05
2010,LL survey,Female,40,7.8
2011,LL survey,Female,40,5
2012,LL survey,Female,40,3
2013,LL survey,Female,40,7.9
2014,LL survey,Female,40,8.4
2015,LL survey,Female,40,4.6
2016,LL survey,Female,40,11.9
2017,LL survey,Female,40,9.1
2005,LL fishery,Female,40,8.3
2006,LL fishery,Female,40,7.7
2007,LL fishery,Female,40,10.4
2008,LL fishery,Female,40,9.3
2009,LL fishery,Female,40,7.9
2010,LL fishery,Female,40,6.9
2011,LL fishery,Female,40,3.2
2012,LL fishery,Female,40,3
2013,LL fishery,Female,40,6.1
2014,LL fishery,Female,40,7.1
2015,LL fishery,Female,40,11.5
2016,LL fishery,Female,40,8.3
2017,LL fishery,Female,40,7.4
2005,LL survey,Male,40,3.9
2006,LL survey,Male,40,3.466666666666667
2007,LL survey,Male,40,4.2
2008,LL survey,Male,40,5.5
2009,LL survey,Male,40,3.7
2010,LL survey,Male,40,3.6
2011,LL survey,Male,40,2.9
2012,LL survey,Male,40,3.7
2013,LL survey,Male,40,3.6
2014,LL survey,Male,40,4
2015,LL survey,Male,40,3.6
2016,LL survey,Male,40,4
2017,LL survey,Male,40,3.8
2005,LL fishery,Male,40,4.3
2006,LL fishery,Male,40,4.2
2007,LL fishery,Male,40,3.9
2008,LL fishery,Male,40,4.15
2009,LL fishery,Male,40,4
2010,LL fishery,Male,40,3.7
2011,LL fishery,Male,40,3.8
2012,LL fishery,Male,40,3.3
2013,LL fishery,Male,40,2.9
2014,LL fishery,Male,40,4
2015,LL fishery,Male,40,3.8
2016,LL fishery,Male,40,4.05
2017,LL fishery,Male,40,3.8
2005,LL survey,Female,41,8.3
2006,LL survey,Female,41,6.5
2007,LL survey,Female,41,6.2
2008,LL survey,Female,41,6.4
2009,LL survey,Female,41,8.7
2010,LL survey,Female,41,7.8
2011,LL survey,Female,41,5
2012,LL survey,Female,41,3
2013,LL survey,Female,41,7.9
2014,LL survey,Female,41,8.4
2015,LL survey,Female,41,4.6
2016,LL survey,Female,41,14.1
2017,LL survey,Female,41,9.1
2005,LL fishery,Female,41,8.9
2006,LL fishery,Female,41,11.7
2007,LL fishery,Female,41,10.4
2008,LL fishery,Female,41,8.2
2009,LL fishery,Female,41,7.9
2010,LL fishery,Female,41,5.7
2011,LL fishery,Female,41,6.3
2012,LL fishery,Female,41,3
2013,LL fishery,Female,41,4.7
2014,LL fishery,Female,41,6.6
2015,LL fishery,Female,41,11.5
2016,LL fishery,Female,41,4.1
2017,LL fishery,Female,41,6.2
2005,LL survey,Male,41,3.9
2006,LL survey,Male,41,3.2
2007,LL survey,Male,41,3.2
2008,LL survey,Male,41,5.5
2009,LL survey,Male,41,3.7
2010,LL survey,Male,41,3.6
2011,LL survey,Male,41,4.2
2012,LL survey,Male,41,3.7
2013,LL survey,Male,41,3.6
2014,LL survey,Male,41,4.8
2015,LL survey,Male,41,3.8
2016,LL survey,Male,41,4.6
2017,LL survey,Male,41,3.9
2005,LL fishery,Male,41,3.7
2006,LL fishery,Male,41,4.3
2007,LL fishery,Male,41,4.1
2008,LL fishery,Male,41,3.8
2009,LL fishery,Male,41,4
2010,LL fishery,Male,41,3.8
2011,LL fishery,Male,41,3.9
2012,LL fishery,Male,41,3.2
2013,LL fishery,Male,41,3
2014,LL fishery,Male,41,4.3
2015,LL fishery,Male,41,4.1
2016,LL fishery,Male,41,4
2017,LL fishery,Male,41,3.7
